report;sys_time;sim_state;net_op_name;net_op_code;roaming;net_type;call_state;data_state;data_act;data_rx;data_tx;gsm_neighbors;umts_neighbors;lte_neighbors;rssi_strongest;tech;mcc;mnc;lac_tac;node_id;cid;psc_pci;rssi;rsrq;rssnr;slev;gps;accuracy;lat;long;band;arfcn;bts_psc_pci;bts_band;bts_arfcn;site_name;site_lat;site_long;cell_name;azimuth;height;tilt_mech;tilt_el;
0;20210113061530;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;6;-74;LTE;405;52;8006;908228;23;221;-78;-9;-20;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
1;20210113061531;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;6;-74;LTE;405;52;8006;908228;23;221;-78;-9;-20;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
2;20210113061532;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;6;-74;LTE;405;52;8006;908228;23;221;-78;-9;8;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
3;20210113061533;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;6;-74;LTE;405;52;8006;908228;23;221;-78;-9;8;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
4;20210113061534;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;6;-74;LTE;405;52;8006;908228;23;221;-78;-9;44;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
5;20210113061535;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;6;-81;LTE;405;52;8006;908228;23;221;-77;-8;44;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
6;20210113061536;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;6;-81;LTE;405;52;8006;908228;23;221;-77;-8;30;4;1;7;25.61748409;85.17527893;1800;1457;null;null;null;null;;;null;null;null;null;null;
7;20210113061537;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;6;-81;LTE;405;52;8006;908228;23;221;-77;-8;30;4;1;9;25.61746166;85.17528179;1800;1457;null;null;null;null;;;null;null;null;null;null;
8;20210113061538;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;6;-81;LTE;405;52;8006;908228;23;221;-75;-10;30;4;1;9;25.61744671;85.17528871;1800;1457;null;null;null;null;;;null;null;null;null;null;
9;20210113061539;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;6;-81;LTE;405;52;8006;908228;23;221;-75;-10;30;4;1;10;25.61744194;85.17530234;1800;1457;null;null;null;null;;;null;null;null;null;null;
10;20210113061540;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;6;-81;LTE;405;52;8006;908228;23;221;-75;-10;30;4;1;10;25.61741978;85.17530748;1800;1457;null;null;null;null;;;null;null;null;null;null;
11;20210113061541;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;6;-77;LTE;405;52;8006;908228;23;221;-79;-12;30;4;1;12;25.61741386;85.17532913;1800;1457;null;null;null;null;;;null;null;null;null;null;
12;20210113061542;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;6;-77;LTE;405;52;8006;908228;23;221;-79;-12;30;4;1;14;25.61741469;85.1753025;1800;1457;null;null;null;null;;;null;null;null;null;null;
13;20210113061543;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-77;LTE;405;52;8006;908228;23;221;-73;-7;16;4;1;15;25.61742205;85.17513475;1800;1457;null;null;null;null;;;null;null;null;null;null;
14;20210113061544;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-77;LTE;405;52;8006;908228;23;221;-73;-7;16;4;1;17;25.61735475;85.17522409;1800;1457;null;null;null;null;;;null;null;null;null;null;
15;20210113061545;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-79;LTE;405;52;8006;908228;23;221;-74;-8;36;4;1;19;25.61739951;85.17522102;1800;1457;null;null;null;null;;;null;null;null;null;null;
16;20210113061546;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-79;LTE;405;52;8006;908228;23;221;-74;-8;36;4;1;16;25.61740911;85.17527664;1800;1457;null;null;null;null;;;null;null;null;null;null;
17;20210113061547;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-79;LTE;405;52;8006;908228;23;221;-74;-8;36;4;1;14;25.61742174;85.17526206;1800;1457;null;null;null;null;;;null;null;null;null;null;
18;20210113061548;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-77;LTE;405;52;8006;908228;23;221;-77;-13;36;4;1;12;25.61738004;85.17526288;1800;1457;null;null;null;null;;;null;null;null;null;null;
19;20210113061549;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-77;LTE;405;52;8006;908228;23;221;-77;-13;36;4;1;7;25.61744179;85.17523185;1800;1457;null;null;null;null;;;null;null;null;null;null;
20;20210113061550;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-80;LTE;405;52;8006;908228;23;221;-75;-8;36;4;1;6;25.61745203;85.17522012;1800;1457;null;null;null;null;;;null;null;null;null;null;
21;20210113061551;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-80;LTE;405;52;8006;908228;23;221;-75;-8;36;4;1;6;25.61747706;85.17518287;1800;1457;null;null;null;null;;;null;null;null;null;null;
22;20210113061552;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-80;LTE;405;52;8006;908228;23;221;-75;-8;36;4;1;5;25.61751617;85.17516663;1800;1457;null;null;null;null;;;null;null;null;null;null;
23;20210113061553;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-80;LTE;405;52;8006;908228;23;221;-76;-10;36;4;1;5;25.61751255;85.17516938;1800;1457;null;null;null;null;;;null;null;null;null;null;
24;20210113061554;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-80;LTE;405;52;8006;908228;23;221;-76;-10;36;4;1;5;25.61751175;85.17515712;1800;1457;null;null;null;null;;;null;null;null;null;null;
25;20210113061555;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-80;LTE;405;52;8006;908228;23;221;-76;-10;36;4;1;5;25.61750294;85.1751537;1800;1457;null;null;null;null;;;null;null;null;null;null;
26;20210113061556;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-81;LTE;405;52;8006;908228;23;221;-82;-9;36;4;1;5;25.61747629;85.1751429;1800;1457;null;null;null;null;;;null;null;null;null;null;
27;20210113061557;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-81;LTE;405;52;8006;908228;23;221;-82;-9;38;4;1;6;25.61744948;85.17513181;1800;1457;null;null;null;null;;;null;null;null;null;null;
28;20210113061558;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-81;LTE;405;52;8006;908228;23;221;-89;-14;38;4;1;6;25.61742188;85.17513184;1800;1457;null;null;null;null;;;null;null;null;null;null;
29;20210113061559;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;3;-81;LTE;405;52;8006;908228;23;221;-89;-14;38;4;1;6;25.61739551;85.1751323;1800;1457;null;null;null;null;;;null;null;null;null;null;
30;20210113061600;READY;airtel;40552;0;LTE;IDLE;DISCONNECTED;DORMANT;2148298;1170680;8;6;4;-81;LTE;405;52;8006;908228;23;221;-87;-13;-12;4;1;6;25.61737117;85.17511978;1800;1457;null;null;null;null;;;null;null;null;null;null;
