report;sys_time;sim_state;net_op_name;net_op_code;roaming;net_type;call_state;data_state;data_act;data_rx;data_tx;gsm_neighbors;umts_neighbors;lte_neighbors;rssi_strongest;tech;mcc;mnc;lac_tac;node_id;cid;psc_pci;rssi;rsrq;rssnr;slev;gps;accuracy;lat;long;band;arfcn;bts_psc_pci;bts_band;bts_arfcn;site_name;site_lat;site_long;cell_name;azimuth;height;tilt_mech;tilt_el;
0;20210116222648;READY;airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;3000152372;308855838;8;0;3;-82;LTE;405;866;62;8586;48;246;-71;-9;148;4;1;157;20.26239914;85.85696644;850;2539;null;null;null;null;;;null;null;null;null;null;
1;20210116222649;READY;airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;3000163085;308864694;8;0;2;-82;LTE;405;866;62;8586;48;246;-69;-8;148;4;1;157;20.26239914;85.85696644;850;2539;null;null;null;null;;;null;null;null;null;null;
2;20210116222650;READY;airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;3000169449;308873317;8;0;2;-82;LTE;405;866;62;8586;48;246;-69;-8;148;4;1;157;20.26239914;85.85696644;850;2539;null;null;null;null;;;null;null;null;null;null;
3;20210116222651;READY;airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;3000173438;308875328;8;0;2;-82;LTE;405;866;62;8586;48;246;-69;-8;148;4;0;-1;-1.0;-1.0;850;2539;null;null;null;null;;;null;null;null;null;null;
4;20210116222652;READY;airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;3000179400;308894405;8;0;2;-82;LTE;405;866;62;8586;48;246;-66;-9;148;4;0;-1;-1.0;-1.0;850;2539;null;null;null;null;;;null;null;null;null;null;
5;20210116222653;READY;airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;3000183040;308907398;8;0;2;-82;LTE;405;866;62;8586;48;246;-66;-9;148;4;0;-1;-1.0;-1.0;850;2539;null;null;null;null;;;null;null;null;null;null;
6;20210116222654;READY;airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;3000190733;308920776;8;0;2;-82;LTE;405;866;62;8586;48;246;-66;-9;148;4;0;-1;-1.0;-1.0;850;2539;null;null;null;null;;;null;null;null;null;null;
7;20210116222655;READY;airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;3000194332;308926808;8;0;2;-80;LTE;405;866;62;8586;48;246;-69;-9;148;4;0;-1;-1.0;-1.0;850;2539;null;null;null;null;;;null;null;null;null;null;
8;20210116222656;READY;airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;3000198302;308938671;8;0;2;-80;LTE;405;866;62;8586;48;246;-69;-9;130;4;0;-1;-1.0;-1.0;850;2539;null;null;null;null;;;null;null;null;null;null;
9;20210116222657;READY;airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;3000201519;308950213;8;0;2;-80;LTE;405;866;62;8586;48;246;-69;-9;130;4;0;-1;-1.0;-1.0;850;2539;null;null;null;null;;;null;null;null;null;null;
