report;sys_time;sim_state;net_op_name;net_op_code;roaming;net_type;call_state;data_state;data_act;data_rx;data_tx;gsm_neighbors;umts_neighbors;lte_neighbors;rssi_strongest;tech;mcc;mnc;lac_tac;node_id;cid;psc_pci;rssi;rsrq;rssnr;slev;gps;accuracy;lat;long;band;arfcn;bts_psc_pci;bts_band;bts_arfcn;site_name;site_lat;site_long;cell_name;azimuth;height;tilt_mech;tilt_el;
0;20210118183407;READY;airtel;40552;0;LTE;IDLE;CONNECTED;INOUT;584402473;49425269;0;0;0;2147483647;LTE;405;52;8006;903033;23;446;-102;-12;55;2;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
1;20210118183408;READY;airtel;40552;0;LTE;IDLE;CONNECTED;INOUT;584402473;49425350;0;0;0;2147483647;LTE;405;52;8006;903033;23;446;-102;-12;55;2;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
2;20210118183409;READY;airtel;40552;0;LTE;IDLE;CONNECTED;INOUT;584410162;49427801;0;0;0;2147483647;LTE;405;52;8006;903033;23;446;-102;-12;55;2;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
3;20210118183410;READY;airtel;40552;0;LTE;IDLE;CONNECTED;INOUT;584411027;49428984;0;0;0;2147483647;LTE;405;52;8006;903033;23;446;-102;-13;42;2;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
4;20210118183411;READY;airtel;40552;0;LTE;IDLE;CONNECTED;INOUT;584411209;49429064;0;0;0;2147483647;LTE;405;52;8006;903033;23;446;-102;-13;42;2;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
5;20210118183412;READY;airtel;40552;0;LTE;IDLE;CONNECTED;INOUT;584411209;49429064;0;0;0;2147483647;LTE;405;52;8006;903033;23;446;-102;-13;45;2;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
6;20210118183413;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;584411209;49429204;0;0;0;2147483647;LTE;405;52;8006;903033;23;446;-101;-13;45;2;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
7;20210118183414;READY;airtel;40552;0;LTE;IDLE;CONNECTED;OUT;584411209;49429204;0;0;0;2147483647;LTE;405;52;8006;903033;23;446;-101;-13;45;2;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
8;20210118183415;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;584411209;49429204;0;0;0;2147483647;LTE;405;52;8006;903033;23;446;-101;-13;47;2;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
9;20210118183416;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;584412806;49429776;0;0;0;2147483647;LTE;405;52;8006;803033;15;166;-107;-11;47;1;0;-1;-1.0;-1.0;2300;39000;null;null;null;null;;;null;null;null;null;null;
10;20210118183417;READY;airtel;40552;0;LTE;IDLE;CONNECTED;INOUT;584417020;49431548;0;0;0;2147483647;LTE;405;52;8006;803033;15;166;-107;-11;47;1;0;-1;-1.0;-1.0;2300;39000;null;null;null;null;;;null;null;null;null;null;
