report;sys_time;sim_state;net_op_name;net_op_code;roaming;net_type;call_state;data_state;data_act;data_rx;data_tx;gsm_neighbors;umts_neighbors;lte_neighbors;rssi_strongest;tech;mcc;mnc;lac_tac;node_id;cid;psc_pci;rssi;rsrq;rssnr;slev;gps;accuracy;lat;long;band;arfcn;bts_psc_pci;bts_band;bts_arfcn;site_name;site_lat;site_long;cell_name;azimuth;height;tilt_mech;tilt_el;
0;20210116182641;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;NONE;2920726584;241723207;0;0;3;-80;LTE;405;866;62;131802;19;1;-80;-7;68;4;1;4;20.26227921;85.85689456;2300;38900;null;null;null;null;;;null;null;null;null;null;
1;20210116182642;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;NONE;2920726584;241723207;0;0;3;-80;LTE;405;866;62;131802;19;1;-80;-7;68;4;1;4;20.26227819;85.8568952;2300;38900;null;null;null;null;;;null;null;null;null;null;
2;20210116182643;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;NONE;2920726584;241723207;0;0;3;-80;LTE;405;866;62;131802;19;1;-80;-7;68;4;1;4;20.26227764;85.85689552;2300;38900;null;null;null;null;;;null;null;null;null;null;
3;20210116182644;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;NONE;2920726584;241723207;0;0;4;-79;LTE;405;866;62;131802;19;1;-76;-7;68;4;1;4;20.26227666;85.85689611;2300;38900;null;null;null;null;;;null;null;null;null;null;
4;20210116182645;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;DORMANT;2920726584;241723207;0;0;4;-79;LTE;405;866;62;131802;19;1;-76;-7;68;4;1;4;20.26227616;85.85689641;2300;38900;null;null;null;null;;;null;null;null;null;null;
5;20210116182646;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;DORMANT;2920726584;241723207;0;0;4;-79;LTE;405;866;62;131802;19;1;-76;-7;68;4;1;4;20.26227583;85.85689654;2300;38900;null;null;null;null;;;null;null;null;null;null;
6;20210116182647;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;DORMANT;2920726584;241723207;8;0;4;-84;LTE;405;866;62;131802;19;1;-75;-7;68;4;1;4;20.26227571;85.85689654;2300;38900;null;null;null;null;;;null;null;null;null;null;
7;20210116182648;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;DORMANT;2920726584;241723207;8;0;4;-84;LTE;405;866;62;131802;19;1;-75;-7;68;4;1;4;20.26227565;85.85689654;2300;38900;null;null;null;null;;;null;null;null;null;null;
8;20210116182649;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;DORMANT;2920726584;241723207;8;0;4;-84;LTE;405;866;62;131802;19;1;-75;-7;2;4;1;4;20.26227561;85.85689653;2300;38900;null;null;null;null;;;null;null;null;null;null;
9;20210116182650;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;DORMANT;2920726584;241723207;8;0;4;-82;LTE;405;866;62;131802;19;1;-76;-7;2;4;1;4;20.26227523;85.85689682;2300;38900;null;null;null;null;;;null;null;null;null;null;
10;20210116182651;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;DORMANT;2920726584;241723207;8;0;4;-82;LTE;405;866;62;131802;19;1;-76;-7;2;4;1;4;20.26227504;85.85689696;2300;38900;null;null;null;null;;;null;null;null;null;null;
11;20210116182652;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;DORMANT;2920726584;241723207;8;0;4;-81;LTE;405;866;62;131802;19;1;-75;-8;2;4;1;4;20.26227495;85.85689703;2300;38900;null;null;null;null;;;null;null;null;null;null;
12;20210116182653;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;DORMANT;2920726584;241723207;8;0;4;-81;LTE;405;866;62;131802;19;1;-75;-8;2;4;1;4;20.26227474;85.85689724;2300;38900;null;null;null;null;;;null;null;null;null;null;
13;20210116182654;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;DORMANT;2920726584;241723207;8;0;4;-81;LTE;405;866;62;131802;19;1;-75;-8;2;4;1;4;20.26227463;85.85689734;2300;38900;null;null;null;null;;;null;null;null;null;null;
14;20210116182655;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;DORMANT;2920726584;241723207;8;0;4;-77;LTE;405;866;62;131802;19;1;-74;-8;2;4;1;4;20.26227389;85.85689812;2300;38900;null;null;null;null;;;null;null;null;null;null;
15;20210116182656;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;DORMANT;2920726584;241723207;8;0;4;-77;LTE;405;866;62;131802;19;1;-74;-8;52;4;1;4;20.26227233;85.85689969;2300;38900;null;null;null;null;;;null;null;null;null;null;
16;20210116182657;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;DORMANT;2920726584;241723207;8;0;4;-77;LTE;405;866;62;131802;19;1;-74;-8;52;4;1;4;20.26227156;85.85690049;2300;38900;null;null;null;null;;;null;null;null;null;null;
17;20210116182659;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;NONE;2920728926;241730746;0;0;3;-77;LTE;405;866;62;131802;19;1;-75;-7;-12;4;1;4;20.2622715;85.8569006;2300;38900;null;null;null;null;;;null;null;null;null;null;
18;20210116182700;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920745639;241731706;0;0;3;-77;LTE;405;866;62;131802;19;1;-75;-7;-12;4;1;4;20.26227146;85.85690065;2300;38900;null;null;null;null;;;null;null;null;null;null;
19;20210116182701;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920752992;241733186;0;0;3;-79;LTE;405;866;62;131802;19;1;-75;-8;-12;4;1;4;20.26227145;85.85690068;2300;38900;null;null;null;null;;;null;null;null;null;null;
20;20210116182702;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920760471;241734798;0;0;3;-79;LTE;405;866;62;131802;19;1;-75;-8;-12;4;1;4;20.26227142;85.85690069;2300;38900;null;null;null;null;;;null;null;null;null;null;
21;20210116182703;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920768804;241737434;0;0;3;-79;LTE;405;866;62;131802;19;1;-75;-8;-12;4;1;5;20.26227141;85.85690069;2300;38900;null;null;null;null;;;null;null;null;null;null;
22;20210116182704;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920778060;241738938;0;0;3;-83;LTE;405;866;62;131802;19;1;-75;-9;-12;4;1;6;20.26227141;85.85690072;2300;38900;null;null;null;null;;;null;null;null;null;null;
23;20210116182705;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920782924;241742016;0;0;3;-83;LTE;405;866;62;131802;19;1;-75;-9;-12;4;1;6;20.2622714;85.85690074;2300;38900;null;null;null;null;;;null;null;null;null;null;
24;20210116182706;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920793520;241745984;0;0;3;-83;LTE;405;866;62;131802;19;1;-75;-9;100;4;1;7;20.2622714;85.85690075;2300;38900;null;null;null;null;;;null;null;null;null;null;
25;20210116182707;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920801458;241752076;0;0;3;-87;LTE;405;866;62;131802;19;1;-76;-9;44;4;1;11;20.2622714;85.85690076;2300;38900;null;null;null;null;;;null;null;null;null;null;
26;20210116182708;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920810616;241755108;0;0;3;-87;LTE;405;866;62;131802;19;1;-76;-9;44;4;1;11;20.26227139;85.85690076;2300;38900;null;null;null;null;;;null;null;null;null;null;
27;20210116182709;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920816213;241757339;0;0;3;-86;LTE;405;866;62;131802;19;1;-74;-7;44;4;1;12;20.26227138;85.85690077;2300;38900;null;null;null;null;;;null;null;null;null;null;
28;20210116182710;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920824656;241759185;0;0;3;-86;LTE;405;866;62;131802;19;1;-74;-7;44;4;1;13;20.26227137;85.85690078;2300;38900;null;null;null;null;;;null;null;null;null;null;
29;20210116182711;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920832837;241761655;0;0;3;-86;LTE;405;866;62;131802;19;1;-74;-7;44;4;1;13;20.26227142;85.85690074;2300;38900;null;null;null;null;;;null;null;null;null;null;
30;20210116182712;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920843077;241762307;0;0;3;-86;LTE;405;866;62;131802;19;1;-75;-9;-34;4;1;13;20.26227144;85.85690072;2300;38900;null;null;null;null;;;null;null;null;null;null;
31;20210116182713;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920846917;241762559;0;0;3;-86;LTE;405;866;62;131802;19;1;-75;-9;-34;4;1;15;20.26227147;85.85690072;2300;38900;null;null;null;null;;;null;null;null;null;null;
32;20210116182714;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920858487;241765443;0;0;3;-86;LTE;405;866;62;131802;19;1;-75;-9;-34;4;1;15;20.26227148;85.85690072;2300;38900;null;null;null;null;;;null;null;null;null;null;
33;20210116182715;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920865549;241765963;0;0;4;-85;LTE;405;866;62;131802;19;1;-80;-8;50;4;1;15;20.26227148;85.85690072;2300;38900;null;null;null;null;;;null;null;null;null;null;
34;20210116182716;READY;IND airtel;40553;0;LTE;IDLE;CONNECTED;INOUT;2920874509;241766583;0;0;4;-85;LTE;405;866;62;131802;19;1;-80;-8;50;4;1;16;20.26227146;85.85690071;2300;38900;null;null;null;null;;;null;null;null;null;null;
