report;sys_time;sim_state;net_op_name;net_op_code;roaming;net_type;call_state;data_state;data_act;data_rx;data_tx;gsm_neighbors;umts_neighbors;lte_neighbors;rssi_strongest;tech;mcc;mnc;lac_tac;node_id;cid;psc_pci;rssi;rsrq;rssnr;slev;gps;accuracy;lat;long;band;arfcn;bts_psc_pci;bts_band;bts_arfcn;site_name;site_lat;site_long;cell_name;azimuth;height;tilt_mech;tilt_el;
0;20210116230214;READY;airtel;40552;0;LTE;IDLE;CONNECTED;OUT;398586281;36571713;0;0;0;2147483647;LTE;405;52;8006;903033;23;446;-76;-14;32;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
1;20210116230215;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;398586281;36571713;0;0;1;-81;LTE;405;52;8006;903033;23;446;-76;-14;32;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
2;20210116230216;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;398586281;36571713;0;0;1;-81;LTE;405;52;8006;903033;23;446;-76;-14;32;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
3;20210116230217;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;398586281;36571713;0;0;1;-81;LTE;405;52;8006;903033;23;446;-76;-14;7;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
4;20210116230218;READY;airtel;40552;0;LTE;IDLE;CONNECTED;OUT;398586281;36571773;0;0;5;-79;LTE;405;52;8006;903033;23;446;-82;-13;7;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
5;20210116230219;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;398586281;36571773;0;0;5;-79;LTE;405;52;8006;903033;23;446;-82;-13;7;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
6;20210116230220;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;398586281;36571773;0;0;5;-79;LTE;405;52;8006;903033;23;446;-82;-13;25;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
7;20210116230221;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;398586281;36571773;0;0;1;-87;LTE;405;52;8006;903033;23;446;-82;-13;25;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
8;20210116230222;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;398586281;36571773;0;0;1;-87;LTE;405;52;8006;903033;23;446;-82;-13;25;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
9;20210116230223;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;398586281;36571773;0;0;5;-80;LTE;405;52;8006;903033;23;446;-81;-13;12;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
10;20210116230224;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;398586281;36571773;0;0;5;-80;LTE;405;52;8006;903033;23;446;-81;-13;12;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
11;20210116230225;READY;airtel;40552;0;LTE;IDLE;CONNECTED;INOUT;398586538;36572027;0;0;5;-80;LTE;405;52;8006;903033;23;446;-81;-13;12;4;0;-1;-1.0;-1.0;1800;1457;null;null;null;null;;;null;null;null;null;null;
12;20210116230226;READY;airtel;40552;0;LTE;IDLE;CONNECTED;INOUT;398586538;36572087;0;0;1;-84;LTE;405;52;8006;903033;33;374;-77;-12;12;4;0;-1;-1.0;-1.0;2100;290;null;null;null;null;;;null;null;null;null;null;
13;20210116230227;READY;airtel;40552;0;LTE;IDLE;CONNECTED;OUT;398586538;36572087;0;0;1;-84;LTE;405;52;8006;903033;33;374;-77;-12;12;4;0;-1;-1.0;-1.0;2100;290;null;null;null;null;;;null;null;null;null;null;
14;20210116230228;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;398586538;36572087;0;0;1;-84;LTE;405;52;8006;903033;33;374;-77;-12;27;4;0;-1;-1.0;-1.0;2100;290;null;null;null;null;;;null;null;null;null;null;
15;20210116230229;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;398587388;36573188;0;0;0;2147483647;LTE;405;52;8006;803033;15;166;-83;-16;2147483647;4;0;-1;-1.0;-1.0;2300;39000;null;null;null;null;;;null;null;null;null;null;
16;20210116230230;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;398588782;36575290;0;0;0;2147483647;LTE;405;52;8006;803033;15;166;-83;-16;2147483647;4;0;-1;-1.0;-1.0;2300;39000;null;null;null;null;;;null;null;null;null;null;
17;20210116230231;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;398588782;36575290;0;0;0;2147483647;LTE;405;52;8006;803033;15;166;-83;-16;2147483647;4;0;-1;-1.0;-1.0;2300;39000;null;null;null;null;;;null;null;null;null;null;
18;20210116230232;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;398588782;36575290;0;0;0;2147483647;LTE;405;52;8006;803033;15;166;-83;-16;2147483647;4;0;-1;-1.0;-1.0;2300;39000;null;null;null;null;;;null;null;null;null;null;
19;20210116230233;READY;airtel;40552;0;LTE;IDLE;CONNECTED;NONE;398588782;36575290;0;0;0;2147483647;LTE;405;52;8006;803033;15;166;-83;-16;2147483647;4;0;-1;-1.0;-1.0;2300;39000;null;null;null;null;;;null;null;null;null;null;
